@relation 'CityBeatEvents-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize-weka.filters.MultiFilter-Fweka.filters.supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 1-Fweka.filters.unsupervised.attribute.Standardize_predicted'

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-0.339504,0.301934,0.967206,0.373239,-0.118026,-0.794389,-0.619998,0.796532,-0.758776,-0.645891,-0.572124,0.215313,0.095951,0.388912,-0.591847,-0.798606,-0.687047,-0.732666,-0.316947,51147cbec2a3754cfe668838,-1,-1
-0.998626,0.251191,-0.091394,0.373239,0.738514,-0.573447,-0.820613,0.171795,-0.758776,-0.549774,-0.424631,-0.592302,-0.535428,-0.561231,-0.591847,-0.293208,-0.687047,-0.732666,-0.316947,511481bec2a3754cfe668e81,-1,-1
1.493916,1.008291,0.640511,0.373239,0.195632,0.310321,0.200648,0.885056,-0.35757,-0.146949,-0.184941,-0.289446,0.411641,-0.086159,0.201319,0.21219,-0.010332,-0.732666,-0.316947,51147e04c2a3754cfe6689aa,1,-1
0.60751,1.399966,0.676041,0.373239,0.021179,0.089379,-0.310156,0.713867,-0.371315,-0.201584,-0.003598,0.619121,0.516871,-0.561231,-0.195264,0.21219,-0.010332,-0.732666,-0.316947,51147d9ec2a3754cfe66893e,-1,-1
-0.775131,-0.310896,-0.89144,-1.234465,-0.558703,-0.849625,-0.693928,-0.628224,-0.614172,-0.332045,0.031793,-0.592302,-0.535428,1.022341,-0.988429,-0.798606,-0.687047,-0.674607,-0.316947,51148563c2a3754cfe6692fc,-1,-1
-0.92034,0.781499,-0.018644,-1.073694,-0.227651,-0.696193,-0.669346,0.454155,-0.673234,-0.497577,-0.321622,0.417217,1.04302,1.022341,-0.591847,-0.798606,-0.687047,0.834935,-0.316947,51148034c2a3754cfe668c92,-1,-1
0.115063,-0.31832,-1.573851,-1.435427,-1.011362,-0.731263,1.132652,0.557445,-0.510883,-0.112637,0.32768,-0.592302,-0.535428,-0.561231,-0.988429,-0.798606,-0.687047,-0.602033,-0.316947,51149a92c2a3754cfe66af1e,-1,-1
0.622662,-1.883072,0.626418,0.373239,-0.638664,0.310321,0.419945,-1.57652,-0.289371,-0.440562,-0.493401,-0.087542,0.306411,-0.561231,0.201319,0.21219,-0.010332,3.970136,3.143059,5114a33dc2a3754cfe66b9a4,1,1
0.721152,0.83288,0.813425,0.373239,0.353477,-0.352505,-0.404669,0.454155,-0.180358,0.36017,0.159763,-0.592302,-0.535428,-0.561231,-0.591847,-0.293208,-0.010332,-0.210133,-0.316947,51147e6bc2a3754cfe668a5e,1,1
0.615086,-0.131609,0.843265,0.373239,-0.227338,-0.352505,-0.567162,-0.564112,-0.135218,-0.549774,-0.382449,-0.188494,-0.324969,-0.561231,-0.195264,0.21219,-0.687047,-0.210133,-0.316947,51148a80c2a3754cfe66997f,-1,1
3.077324,1.441431,0.000974,0.373239,6.275007,-0.794389,-0.81957,0.139659,-0.758776,-0.579588,-0.461171,-0.592302,-0.219739,0.072198,-0.591847,-0.798606,-0.687047,-0.210133,-0.316947,5114783ec2a3754cfe668455,1,1
2.03182,-0.902696,0.154783,0.373239,-0.235698,0.752205,0.713792,-0.313889,0.851673,1.256336,1.207487,0.215313,0.095951,0.283341,0.201319,0.717588,0.666384,-1.2552,-0.316947,511486b7c2a3754cfe6694e2,1,1
0.251433,-1.197607,-0.58624,0.373239,-0.681656,2.077857,0.495328,-1.57652,0.802143,1.541075,0.94279,0.05379,0.050853,0.008855,2.580814,2.233783,2.019815,-1.2552,-0.316947,51148777c2a3754cfe669601,1,1
-0.58194,0.009499,-0.753587,0.373239,-0.056513,-1.015331,-0.34396,0.713867,-0.802361,-0.626631,-0.461171,1.022929,0.72733,0.388912,-0.988429,-0.798606,-0.687047,-0.210133,-0.316947,51148a6dc2a3754cfe669963,-1,1
-0.536483,1.454108,-0.026967,0.373239,0.063815,-0.352505,-0.633685,0.237672,-0.242761,0.36017,-0.382449,-0.390398,0.411641,0.388912,-0.591847,-0.293208,-0.010332,-0.210133,-0.316947,51148f4ec2a3754cfe66a176,-1,1
2.092429,1.4344,0.923148,0.373239,-0.245861,-0.352505,-0.089504,0.282966,-0.214172,-0.582513,-0.461171,0.215313,-0.535428,0.072198,-0.591847,-0.293208,-0.010332,-0.732666,-0.316947,51147d13c2a3754cfe6688a6,-1,1
1.743927,0.848096,-2.323069,-3.244094,-0.449906,0.163026,-0.703353,0.965414,0.25128,0.910973,0.805348,1.224832,0.253796,1.972484,-0.591847,-0.293208,-0.687047,-0.602033,-0.316947,51148d3ac2a3754cfe669e61,-1,1
0.349922,-0.800898,0.36393,0.373239,-0.549701,1.194089,-0.453171,-0.193229,0.626894,0.978422,1.295844,-0.107733,-0.114509,-0.117831,2.580814,3.24458,2.019815,-1.2552,-0.316947,51148d4dc2a3754cfe669e6d,1,1
1.304513,-1.128313,0.235762,0.373239,0.621526,1.194089,-0.528232,-1.57652,1.015593,-0.210198,-0.312384,-0.303868,-0.309936,0.177769,1.391066,2.233783,0.666384,1.880002,3.143059,51147caac2a3754cfe668801,1,1
0.849946,-0.343007,0.937098,0.373239,-0.583027,-0.131563,-0.357427,-0.193229,0.398061,0.316499,-0.382449,-0.053892,-0.219739,-0.086159,-0.195264,-0.293208,-0.010332,-0.210133,-0.316947,51148a04c2a3754cfe6698f1,1,1
-0.574364,0.28077,0.799688,0.373239,0.43639,-0.352505,-0.709447,0.625344,-0.758776,-0.549774,-0.332558,-0.188494,-0.377584,-0.561231,-0.195264,-0.293208,-0.687047,-0.732666,-0.316947,51147b3fc2a3754cfe6686ba,-1,-1
-0.242097,-0.241221,-1.888259,-3.96756,-0.607785,1.162526,-0.7191,0.713867,0.315326,1.121127,0.398953,-0.592302,-0.535428,-0.561231,-0.195264,0.21219,0.666384,-0.732666,-0.316947,511488f8c2a3754cfe6697ef,1,-1
0.599934,1.451781,-0.792259,0.373239,-0.559127,-0.352505,0.094261,1.078892,-0.407324,-0.471422,-0.332558,2.638159,1.990089,1.022341,-0.591847,-0.293208,-0.010332,-0.732666,-0.316947,51148d2cc2a3754cfe669e3c,-1,-1
-0.71831,0.291042,-1.557713,-1.073694,-0.445202,-0.941684,-0.479138,-0.031529,-0.729176,-0.543239,-0.433428,-0.188494,0.411641,-0.244516,-0.591847,-0.798606,-0.687047,0.312401,-0.316947,51149082c2a3754cfe66a290,-1,-1
1.478763,0.021595,-0.853181,0.373239,-0.84331,-0.29727,-0.504924,0.267179,-0.668652,-0.597624,-0.412631,-0.188494,-0.061894,1.339055,-0.591847,-0.293208,-0.687047,-0.602033,-0.316947,51148bb9c2a3754cfe669be8,-1,-1
-0.437994,-1.031881,-0.200561,0.373239,1.304745,-0.352505,-0.377183,-0.564112,-0.656063,-0.549774,-0.332558,-0.026971,-0.535428,-0.561231,0.597901,-0.293208,-0.010332,0.834935,-0.316947,51147877c2a3754cfe66848b,1,-1
-0.99105,-0.620124,0.125756,0.373239,-0.572228,0.752205,0.117781,-0.564112,0.443093,0.434606,0.950642,0.376836,0.095951,0.072198,0.597901,0.21219,0.666384,0.834935,3.143059,511487d8c2a3754cfe669652,1,-1
-0.831952,0.28292,-0.891427,0.373239,-0.361075,-1.015331,-0.632277,0.885056,-0.847383,-0.706023,-0.848941,0.215313,-0.535428,0.072198,-0.988429,-0.798606,-0.687047,-0.210133,-0.316947,51147e1ac2a3754cfe6689e9,-1,-1
0.054454,0.129104,0.887138,0.373239,-0.744464,-0.573447,-0.129891,-0.031529,-0.775683,-0.579588,-0.424631,-0.592302,0.411641,0.388912,-0.591847,-0.293208,-0.687047,-0.732666,-0.316947,511486bec2a3754cfe6694f2,-1,-1
0.175672,1.485251,0.854189,0.373239,0.118065,-0.794389,-0.428566,0.602697,-0.703621,-0.604795,-0.424631,0.619121,-0.535428,-0.561231,-0.591847,-0.798606,-0.687047,-0.732666,-0.316947,51147cbac2a3754cfe668827,-1,-1
-0.831952,0.723835,0.739618,0.373239,0.169063,-0.352505,-0.417663,0.796532,-0.730308,-0.549774,-0.424631,0.013409,-0.535428,-0.402873,-0.591847,-0.293208,-0.010332,-0.210133,-0.316947,51147dbac2a3754cfe668961,-1,-1
