@relation CityBeatEvents-weka.filters.unsupervised.attribute.Standardize

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute TheRatioOfPeopleToPhoto numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute label {1,-1}

@data
-0.247439,-2.948518,-1.273757,0.633483,-0.793209,7.903049,4.27507,-2.095206,0.761012,9.531637,9.15616,12.295471,-0.29202,-0.293592,-0.151246,6.281297,9.116534,6.068122,0.347688,-0.137686,51148c29c2a3754cfe669ce6,1
-0.855254,0.943633,-0.01515,0.633483,0.61953,0.899812,-0.582996,0.645008,0.618643,0.718592,0.578704,0.31633,-0.454555,-0.451379,-0.439697,0.836239,0.562319,1.220205,-0.530888,-0.137686,51147f0dc2a3754cfe668b31,1
0.526143,-2.327973,0.664369,0.633483,-0.457386,2.212919,0.701542,-2.452959,0.523731,2.70233,3.633866,2.659683,-0.319109,-0.451379,-0.439697,1.614105,1.631596,2.836177,-0.530888,-0.137686,51148d6dc2a3754cfe669e8b,1
-0.845207,0.534389,0.977867,0.633483,1.842214,0.024408,-0.86148,-0.084765,0.523731,-0.281301,-0.507676,-1.255804,-0.454555,-0.451379,-0.439697,0.058374,0.562319,-0.395768,0.347688,-0.137686,511479e7c2a3754cfe668564,1
-0.151997,-0.46125,-0.028677,0.633483,0.657028,0.46211,-0.235088,-0.866245,1.093206,0.176439,0.626775,-0.053866,-0.319109,-0.31989,-0.439697,0.058374,0.562319,1.220205,-0.530888,-0.137686,51148288c2a3754cfe668edd,1
-0.810044,-1.645285,-1.684402,0.633483,-0.586759,9.216156,0.174014,-1.596018,0.855925,6.852558,5.366009,1.877791,-0.394357,-0.392939,-0.38628,5.503432,8.047257,12.532012,2.983418,-0.137686,5114a33bc2a3754cfe66b988,1
1.510701,-1.945093,0.960834,0.633483,-0.324147,0.46211,-0.382901,-1.401873,-0.330482,0.607534,1.473497,1.817636,0.629007,0.600536,-0.439697,0.058374,0.562319,1.220205,-0.530888,-0.137686,51148d70c2a3754cfe669ea6,1
0.410608,-0.142518,0.944958,0.633483,1.807613,0.46211,-0.696657,-1.141693,0.14408,0.865879,0.999455,1.602334,-0.048219,-0.451379,-0.439697,0.058374,0.562319,1.220205,-0.530888,-0.137686,5114789bc2a3754cfe668496,1
0.381584,0.193538,0.1288,-0.368189,0.777409,0.267576,-0.629688,0.823884,-0.23557,1.170493,-0.099503,-0.012664,-0.183664,0.732025,-0.439697,0.836239,0.562319,-0.395768,0.347688,-0.137686,51147b22c2a3754cfe6686b1,1
-0.805021,-3.705628,-1.420212,0.633483,1.38135,0.46211,-0.083072,-4.661889,2.279614,0.659302,0.822518,1.066572,-0.454555,-0.31989,-0.439697,0.058374,0.562319,1.220205,3.861994,-0.137686,51147c44c2a3754cfe6687bf,1
-0.377486,1.102148,-0.656482,-0.368189,0.252799,0.753912,-0.629981,-0.814537,-0.472851,1.006175,2.351792,0.083844,-0.319109,0.337557,0.641995,0.058374,0.562319,1.220205,0.347688,-0.137686,51148f4ec2a3754cfe66a176,1
0.24484,-0.323988,1.038604,0.633483,1.687991,0.024408,-0.855024,0.057672,0.571187,-0.013813,-0.507676,-0.457348,-0.454555,-0.451379,-0.439697,0.058374,0.562319,-0.395768,0.347688,-0.137686,51147898c2a3754cfe668495,1
-0.483532,1.485718,0.95564,0.633483,0.569132,-0.413295,-0.360587,-0.121204,0.6661,-0.504886,-0.374277,-0.382108,-0.454555,-0.31989,-0.439697,0.058374,0.562319,-0.395768,1.226265,-0.137686,51147e6bc2a3754cfe668a5e,1
-0.483532,-3.408092,0.027734,0.633483,0.609832,3.963729,-0.110384,-4.661889,0.761012,4.777837,6.408078,8.574199,-0.346198,-0.346188,-0.379603,2.39197,3.77015,4.45215,2.104841,-0.137686,51148f61c2a3754cfe66a1aa,1
-0.151997,1.188835,-0.005981,0.633483,0.454145,3.526026,-0.198447,-0.70854,2.469439,0.261006,0.469913,0.046272,-0.228813,-0.240996,-0.199321,3.169835,3.77015,1.220205,0.347688,-0.137686,51147a63c2a3754cfe6685e4,1
-0.57144,-1.125268,-1.325352,-0.479486,-0.586329,0.024408,0.669858,0.209153,-0.472851,-0.005309,0.243964,0.449142,0.087226,-0.451379,-0.439697,0.058374,-0.506958,-0.395768,-0.433269,-0.137686,51149ab2c2a3754cfe66af56,1
-0.980835,-3.341715,-0.904488,0.633483,0.552911,5.714538,0.711719,-4.661889,2.944002,5.666039,5.302373,7.401903,-0.454555,-0.451379,-0.439697,3.947701,5.908703,4.45215,2.983418,-0.137686,51148f5fc2a3754cfe66a195,1
-0.498602,-2.890547,0.353233,0.633483,-0.346991,2.650622,0.299943,-1.998634,1.188119,4.461731,4.3548,5.503872,-0.346198,-0.188401,-0.199321,2.39197,3.77015,6.068122,-0.530888,-0.137686,51148d6ec2a3754cfe669e96,1
-0.453393,-3.00506,0.146023,0.633483,-0.771001,4.401431,3.234482,-2.183354,-0.425395,5.573903,8.814861,5.503872,-0.415856,-0.413811,-0.391622,3.947701,5.908703,6.068122,-0.530888,-0.137686,51148c24c2a3754cfe669cc1,1
-0.222323,-1.307977,1.047806,0.633483,-0.984767,-0.413295,4.69036,-1.089986,-0.472851,-0.504886,-0.507676,-0.583079,-0.003071,-0.188401,-0.439697,0.836239,-0.506958,-0.395768,0.347688,-0.137686,5114a47fc2a3754cfe66bb07,1
-0.825114,-0.27681,0.705163,0.633483,-0.320478,1.337515,0.478212,-0.396652,1.472857,2.236643,1.040126,-0.166781,-0.386832,-0.451379,-0.439697,1.614105,1.631596,1.220205,0.347688,-0.137686,5114848ac2a3754cfe669163,1
-0.573951,-1.291944,0.784958,0.633483,-0.390879,1.337515,-0.167174,0.057672,0.096624,1.557835,-0.560616,-0.636783,-0.364258,-0.36372,-0.319509,0.836239,1.631596,1.220205,0.347688,-0.137686,511484e2c2a3754cfe66922d,1
-0.694509,-2.011788,0.959419,0.633483,-0.542566,0.024408,0.684227,-1.401873,0.571187,-0.634058,-0.686872,-0.636783,-0.454555,-0.451379,-0.199321,0.836239,-0.506958,-0.395768,3.861994,-0.137686,5114a33cc2a3754cfe66b991,1
1.302515,-2.421498,-1.063219,-0.368189,-0.611531,3.671927,1.24728,-2.452959,-0.377939,2.434576,2.222666,2.906667,0.412295,0.390153,1.29101,2.39197,3.77015,6.068122,2.983418,-0.137686,5114a32bc2a3754cfe66b952,1
-0.573951,-0.730452,0.760361,0.633483,1.224307,0.899812,-0.851789,-1.141693,0.6661,-0.504886,-0.446561,-0.382108,-0.319109,-0.188401,-0.319509,1.614105,0.562319,1.220205,2.983418,-0.137686,51147864c2a3754cfe668473,1
-1.265726,0.960103,-2.777254,-2.371534,0.281676,0.337052,-0.368415,0.33312,-0.472851,-0.240658,-0.481957,-0.539709,-0.183664,-0.451379,-0.439697,0.058374,-0.506958,-0.395768,-0.530888,-0.137686,51147cb1c2a3754cfe66881a,1
0.219724,-2.187307,0.299981,0.633483,0.861862,3.526026,-0.505935,-2.646102,1.567769,3.7001,2.098687,0.977565,-0.261061,-0.263537,0.041055,3.947701,5.908703,2.836177,4.740571,-0.137686,51147caac2a3754cfe668801,1
-0.789951,-2.756769,0.787541,0.633483,-0.668283,1.337515,1.106382,-2.095206,0.286449,1.033752,-0.374277,-0.192521,-0.346198,-0.346188,-0.359572,2.39197,3.77015,2.836177,2.983418,-0.137686,5114a32ac2a3754cfe66b938,1
-1.131533,0.914061,-0.093824,0.633483,7.035887,0.024408,-0.84864,-0.866245,0.6661,-0.634058,-0.649085,-0.68581,-0.454555,-0.451379,0.041055,0.836239,-0.506958,-0.395768,-0.530888,-0.137686,5114783ec2a3754cfe668455,1
-0.025858,0.924915,0.17883,-0.368189,-0.763635,-0.705096,0.505921,1.099332,-0.377939,-0.467343,-0.404845,-0.295635,0.087226,-0.451379,-0.199321,-0.719492,-0.506958,-0.395768,-0.530888,-0.137686,51148ba9c2a3754cfe669b8b,1
-0.367998,-1.383276,0.510838,0.633483,0.793774,2.212919,-0.231563,-0.814537,0.903381,3.607408,4.768776,1.036519,-0.386832,-0.385635,-0.199321,1.614105,2.700873,1.220205,0.347688,-0.137686,51147c34c2a3754cfe668794,1
-0.684463,-1.618393,-0.091918,0.633483,0.677469,0.899812,-0.719531,-1.596018,0.808469,1.259849,0.65195,-0.457348,-0.346198,-0.451379,-0.439697,2.39197,0.562319,1.220205,2.983418,-0.137686,511478dac2a3754cfe6684b7,1
-0.458416,-1.840935,-1.338045,0.633483,-0.339494,-0.52272,-0.034015,-0.968917,-0.472851,-0.162195,0.153609,0.449142,0.087226,0.600536,-0.439697,0.058374,-0.506958,-0.395768,4.081639,-0.137686,51148d30c2a3754cfe669e4f,1
-0.594044,-2.568977,-0.49085,0.633483,-0.740644,2.650622,1.190748,-2.921551,0.808469,2.767474,1.082998,1.066073,-0.29202,-0.293592,-0.199321,2.39197,3.77015,1.220205,2.104841,7.258656,51148bb7c2a3754cfe669bca,1
-0.337858,-2.72837,-0.152737,0.633483,3.723941,3.526026,-0.311011,-3.62763,8.781125,4.374232,3.330845,1.066572,-0.048219,0.074578,-0.139227,4.725566,2.700873,4.45215,2.104841,-0.137686,5114798cc2a3754cfe668532,1
-0.277579,-2.315304,0.144876,0.633483,1.357334,0.024408,-0.678132,-1.998634,0.571187,0.214683,-0.374277,-0.523713,-0.364258,-0.451379,-0.439697,3.169835,0.562319,-0.395768,3.861994,7.258656,51147951c2a3754cfe6684e9,1
-0.247439,-2.468812,0.880913,0.633483,-0.51436,0.46211,0.609416,-1.089986,-0.093201,-0.608174,-0.649085,-0.636783,-0.454555,-0.31989,-0.199321,0.836239,0.562319,-0.395768,3.861994,-0.137686,5114a33dc2a3754cfe66b9a4,1
-0.182137,0.290698,1.011318,0.633483,0.968939,-0.850997,-0.538842,0.645008,0.476275,-0.504886,-0.374277,-0.295251,-0.454555,-0.188401,-0.199321,-0.719492,-0.506958,-0.395768,-0.530888,-0.137686,51147a3ec2a3754cfe66857f,1
-0.106788,-1.356728,0.993299,0.633483,0.725942,-0.413295,-0.76872,-0.396652,-0.425395,-0.504886,-0.446561,-0.523713,-0.003071,-0.451379,-0.199321,0.836239,-0.506958,-0.395768,0.347688,-0.137686,51147b47c2a3754cfe6686e2,1
-1.031068,-0.969743,0.805043,0.633483,0.121885,0.899812,-0.802953,-1.998634,-0.23557,-0.544953,-0.560616,-0.636783,-0.319109,-0.293592,-0.199321,3.169835,3.77015,2.836177,2.983418,7.258656,51147fabc2a3754cfe668c47,1
