@relation CityBeatEvents-weka.filters.unsupervised.attribute.Standardize_predicted

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-0.302292,0.256884,-0.147016,-0.796185,0.214993,-0.131553,-0.795666,-1.459371,0.256884,-0.301897,1.254547,-0.30427,-0.111163,-0.030148,-0.46551,-0.665908,1.255765,-0.155478,-0.360953,-0.318298,-0.130407,-0.063925,51148257c2a3754cfe668eca,-1,-1
1.04892,-0.591325,-0.121934,-1.294577,-0.542364,-0.174707,0.549524,-0.152303,-0.591325,-0.305721,0.248696,0.455917,0.05567,-0.305243,-0.575311,0.381575,-0.468927,-0.155478,-0.008208,-0.318298,0.035433,-0.063925,51148830c2a3754cfe669706,-1,-1
-0.864766,-0.110336,-0.170773,0.114339,-1.12804,0.299983,4.834393,0.543307,-0.110336,-0.527096,-0.56658,0.767507,1.392153,1.789991,-0.685111,-0.665908,-0.660559,-0.35419,-0.360953,-0.318298,-0.254787,-0.063925,5114a9f1c2a3754cfe66c10a,-1,-1
1.895146,0.726935,-0.122321,0.255977,0.010458,0.774672,-0.745296,0.850473,0.726935,1.180028,-0.900599,0.345298,0.842176,1.159007,2.037947,3.943015,3.555353,0.440657,-0.008208,0.136149,-0.296247,-0.063925,51148168c2a3754cfe668e4c,-1,-1
0.762052,-1.185217,-0.089339,-1.775783,1.240622,-0.886742,-0.133922,-0.420572,-1.185217,-0.360138,0.390065,-0.667486,-0.981964,-0.933813,-0.245908,-0.246915,-0.468927,-0.155478,-0.008208,-0.318298,0.201273,-0.063925,51147b62c2a3754cfe668717,-1,-1
1.105049,0.213047,-0.159675,-0.465085,-0.036889,-0.332937,-0.65287,-0.438297,0.213047,-0.527096,0.334293,0.144405,0.580489,0.763509,-0.245908,1.219561,1.064132,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,5114834ec2a3754cfe668ff8,-1,-1
0.63226,-2.385252,-0.170483,0.114339,0.130802,0.299983,-0.820045,-0.960072,-2.385252,-0.527096,0.814574,0.767507,1.116935,1.474236,-0.46551,-0.456411,-0.660559,-0.35419,-0.360953,-0.318298,-0.254787,-0.063925,511480ccc2a3754cfe668da9,-1,-1
-0.001948,-0.36074,-0.170539,0.114339,-0.791123,0.299983,1.449203,0.698304,-0.36074,-0.527096,-0.697885,0.767507,1.285392,1.395108,-0.46551,1.010064,0.10597,-0.35419,-0.360953,-0.318298,-0.254787,-0.063925,511490c6c2a3754cfe66a317,-1,-1
-0.869191,0.782598,-0.154564,1.389073,-0.294166,-0.554459,0.215179,0.684867,0.782598,-0.527096,-0.682095,-0.073681,0.103754,0.162063,-0.685111,-0.665908,-0.660559,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,511488f5c2a3754cfe6697df,-1,-1
-0.684717,0.825397,0.667612,-0.363686,-0.244777,-1.545038,0.598902,0.470748,0.825397,0.188475,-0.487661,-1.666118,-1.777931,-1.847019,-0.46551,0.730736,-0.660559,0.241945,0.344537,0.136149,0.035433,-0.063925,51147e17c2a3754cfe6689cf,-1,-1
