@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-24

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute ID string
@attribute label {1,-1}

@data
36.055556,0.040459,0.313087,7.532804,0.9,1.835522,0.148148,3.960132,2.801128,0.024978,5.098019,0.163344,0.767268,0.336401,0.327837,2.166667,1,3,6,1,1,0.2,51147f87c2a3754cfe668bde,1
25.473684,0.0759,0.32686,7.566122,0.826087,2.357102,0.140351,4.415037,2.858459,0.035765,5.420589,0.294685,1.242331,0.351171,0.286794,1.25,0,2.5,4,3,2,0.5,51147f8bc2a3754cfe668c09,1
65.2,0.084398,0.222571,7.476159,0.909091,1.830744,0.122222,5.468287,2.764275,-0.059249,4.587814,0.349734,0.520792,0.429163,0.408578,3.555556,6.666667,11.666667,9,6,3,0.5,51148acec2a3754cfe6699bc,1
46.632653,0.052787,0.381551,7.621113,0.859649,4.564539,0.095238,4.540612,2.915963,0.025633,3.574084,0.058375,0.687248,0.19412,0.162277,1.125,5.666667,5,8,3,3,0.7,511479e9c2a3754cfe668567,1
56.071429,0.096642,0.301995,8.066489,0.848485,2.697425,0.130952,3.618833,2.615977,-0.064935,4.140758,0.18692,0.702671,0.382534,0.309766,3.714286,1.2,1.5,7,5,4,0.6,51147f0dc2a3754cfe668b31,1
50.481481,0.082325,0.177658,7.589744,0.870968,1.312194,0.160494,6.324119,2.345161,-0.113383,5.004696,0.186099,0.96443,0.807272,0.495877,1,1,0.25,6,4,4,0.3,51148d6dc2a3754cfe669e8b,1
48.564103,0.084164,0.329141,7.627305,0.906977,2.745657,0.059829,4.351542,2.606827,0.059459,4.054144,0.120733,0.260225,0.239432,0.224679,0,0.5,1,3,2,2,0.3,51148288c2a3754cfe668edd,1
28.787879,0.141639,0.141706,7.090849,0.868421,1.145783,0.313131,5.213126,2.041483,-0.03885,3.596409,0.152576,1.337271,0.906771,0.567049,1,1,0.692308,15,13,13,2.2,5114a33bc2a3754cfe66b988,1
43.08,0.110004,0.327117,7.872588,0.833333,2.307623,0.093333,4.799734,2.396447,-0.003912,3.343488,0.216609,0.453854,0.231292,0.217963,2,1.2,0.666667,8,5,3,0.3,51148245c2a3754cfe668eb2,1
81.222222,0.10781,0.246164,7.777444,0.9,1.816709,0.148148,3.684684,2.603358,0.03995,5.268212,0.293132,0.960138,0.528438,0.37068,2.5,3.5,1,4,2,2,0.3,51148a80c2a3754cfe66997f,1
66.7,0.084731,0.196964,7.606273,0.909091,1.83465,0.15,4.945675,2.902272,-0.07473,5.152534,0.155659,0.864124,0.713391,0.520792,3.2,4,7,5,4,2,0.3,51148a8dc2a3754cfe669997,1
