@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
44.5,0.048981,0.300476,9.138487,0.5,0.606298,0.25,11.329062,3.013071,0.045454,23.269294,0.269704,1.500601,1.353654,1.327314,0,0,2,1,1,1,0.125,-1
75.6,0.068435,0.307518,7.341464,1,2.553908,0.2,3.730957,2.900052,0.074875,21.348197,0.505121,0.582008,0.55324,0.530926,0.5,0.5,2.5,2,2,2,0.1,-1
41.1,0.065872,0.267328,7.192013,1,2.20536,0.133333,3.111291,2.97084,0.034016,21.278111,0.322754,0.566593,0.530926,0.483925,0.5,0,1,2,2,1,0.1,-1
39.1,0.113343,0.350091,7.642903,1,2.826695,0.1,3.648399,3.010571,0.044907,22.294293,0.250257,0.60024,0.582008,0.582008,0,1,2,1,1,1,0.1,-1
29,0.041501,0.375223,8.365868,0.75,1.699197,0.166667,5.111002,3.057476,0.209183,22.105256,0.354691,0.620004,0.583495,0.477818,5,0,0,1,1,1,0.125,-1
37.9,0.059559,0.403725,7.304826,1,2.217042,0.1,3.012738,3.050302,-0.035249,22.569801,0.212548,0.55324,0.541462,0.483925,0,0,0,1,1,1,0.1,-1
50.111111,0.057056,0.227052,7.64112,0.9,1.253363,0.111111,3.477674,2.900052,-0.086949,22.349806,0.448918,0.646676,0.629548,0.589917,1,0,0,1,1,1,0.1,-1
34.4,0.077817,0.29093,7.148041,1,2.36491,0.133333,4.516187,2.965584,-0.043766,21.812458,0.793415,0.60024,0.521395,0.512694,0,4,1,2,1,1,0.2,-1
40.714286,0.053044,0.293752,7.909044,0.875,1.332212,0.142857,3.194038,2.939829,-0.092388,22.891479,0.223087,0.682661,0.674496,0.659444,0,3,0,1,1,1,0.125,-1
31.7,0.074243,0.220283,7.232684,1,1.57398,0.133333,3.684683,2.900052,0.052546,22.422763,0.45494,1.200481,0.582008,0.566593,0,0,0,2,1,1,0.1,-1
43.1,0.074373,0.342729,7.612081,1,2.128445,0.1,4.531483,3.036372,0.013827,21.570782,0.026316,0.582008,0.566593,0.541462,2,3,0,1,1,1,0.1,-1
60.7,0.075906,0.304446,7.357484,1,1.456539,0.2,4.877196,3.005315,-0.065612,21.714636,0.505593,0.980758,0.870749,0.855928,0,0,0,2,2,2,0.1,-1
47.5,0.065567,0.2215,6.954763,1,2.810659,0.233333,3.082632,2.792586,-0.107383,22.048878,0.215183,1.055249,1.042789,0.582008,1,1.5,1.5,3,2,2,0.2,-1
58.1,0.039299,0.322632,7.390386,1,1.748411,0.133333,4.374408,2.945039,-0.040439,21.450171,0.387386,0.620197,0.55324,0.541462,0,0,0,2,1,1,0.2,-1
46,0.077496,0.444952,7.54825,0.9,1.431973,0.111111,4.396721,2.925853,0.146444,22.675552,0.234096,0.646676,0.646676,0.589917,8,8,0,1,1,1,0.1,-1
64.7,0.061633,0.250738,7.511544,1,1.433914,0.166667,4.672192,2.965584,0.003801,22.372358,0.589012,0.582008,0.55324,0.55324,12,12.5,2,2,2,1,0.2,-1
47.6,0.099666,0.339108,8.125295,1,1.38029,0.133333,6.62784,2.965584,0.000646,21.72201,0.196682,0.521395,0.521395,0.512694,1.5,1,0,2,1,1,0.1,-1
36.7,0.078445,0.32473,7.532188,1,1.942236,0.1,3.044066,2.98477,0.003568,22.567934,0.528809,0.60024,0.60024,0.582008,1,2,2,1,1,1,0.1,-1
51.6,0.072321,0.276686,7.17877,1,1.397093,0.1,3.468795,2.925853,-0.075777,21.454946,0.22502,0.60024,0.60024,0.541462,2,12,2,1,1,1,0.1,-1
49.9,0.045179,0.294344,7.372475,1,1.383414,0.1,4.05025,2.965584,-0.018741,20.96827,0.117735,0.566593,0.566593,0.566593,1,1,0,1,1,1,0.1,-1
40.285714,0.059626,0.435278,7.998564,0.875,1.948536,0.142857,4.198108,2.984234,0.183821,22.88966,0.416763,0.83144,0.758465,0.710398,2,2,0,1,1,1,0.125,-1
48.888889,0.09645,0.389611,7.090573,1,1.953743,0.148148,3.391451,2.947703,0.125222,22.679696,0.071805,0.666934,0.666934,0.589917,2.5,1,4,2,1,1,0.111111,-1
37.7,0.047596,0.27258,7.520129,1,2.201512,0.1,4.477208,2.97084,-0.019252,21.577139,0.136051,0.566593,0.521395,0.521395,1.5,0,3,2,1,1,0.3,-1
36.3,0.049578,0.377737,7.004471,1,2.457619,0.166667,3.852507,3.010571,0.023181,20.067521,0.482628,0.582008,0.566593,0.521395,0,0,0,2,2,1,0.1,-1
