@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
63.478261,0.066554,0.326421,7.942541,0.851852,1.317389,0.101449,4.682785,2.915001,0.397158,0.260974,0.260974,7,6,6,5,2,2,0.1,-1
44,0.056911,0.267916,7.752269,0.8,0.877503,0.208333,11.311922,3.010571,0.750301,0.69155,0.651743,1,1,0,2,2,1,0.1,-1
30.857143,0.024681,0.159051,7.425411,0.875,1.013683,0.190476,4.615087,2.816308,0.857486,0.74485,0.682661,1,0,2,2,1,1,0.25,-1
35.214286,0.076215,0.369522,7.920039,0.823529,2.537299,0.071429,3.065604,3.016808,0.428743,0.404709,0.395171,0,0,0,1,1,1,0.1,-1
53.2,0.07077,0.247278,7.755748,0.909091,1.876743,0.2,4.079804,2.965957,0.684438,0.661555,0.60024,1.333333,1.5,0.5,3,2,2,0.2,-1
41.933333,0.053539,0.406214,7.50572,0.9375,1.831728,0.111111,3.780043,2.99908,0.40016,0.40016,0.377729,0.5,0,1,2,2,1,0.1,-1
42.055556,0.068494,0.271618,7.632532,0.857143,1.027435,0.111111,5.642683,2.952584,0.333467,0.333467,0.333467,0,2,3,2,2,2,0.2,-1
53.058824,0.035772,0.405499,7.883072,0.772727,2.576426,0.156863,3.738244,2.876055,0.635531,0.353083,0.342358,5,0,0,5,2,1,0.1,-1
42,0.049187,0.363169,7.48521,0.928571,2.127657,0.076923,3.445961,2.946837,0.461723,0.408404,0.401073,0,0,0,1,1,1,0.1,-1
57.111111,0.084978,0.266177,7.518821,1,1.322658,0.148148,3.40773,3.016876,0.921357,0.646676,0.646676,3.5,4,4,2,1,1,0.111111,-1
